Ticker,Frequency,Name,Percentage
ORIG,1735,Gol Linhas Aereas In,0.008919559148604173
ACN,5390,,0.027709754357911526
CTSH,8017,Accenture Plc,0.041215046509717385
CUDA,2426,Cognizant Technology,0.012471959939200996
CYBR,4257,Barracuda Networks I,0.021885050890840328
FEYE,7217,Cyberark Software Lt,0.03710228148442439
AUDUSD,1850,FireEye Inc,0.009510769120990041
EURUSD,7146,,0.03673727358842964
GBPUSD,4378,,0.022507106600915892
USDJPY,2606,,0.013397332069891918
BT,1923,,0.009886058929548027
BKD,2825,BT Group plc (ADR),0.014523201495565874
BKDCF,817,Brookdale Senior Liv,0.004200161282080467
SSI,1402,BREAKING DATA CORP C,0.007207620706825966
ATNM,1255,Stage Stores Inc,0.0064519001334283795
INUV,1829,Actinium Pharmaceuti,0.0094028090390761
LIVE,5384,Inuvo Inc,0.027678908620221827
LRX,121,Live Ventures Inc,0.0006220557100755648
SFUN,1354,,0.0069608548053083875
SGYP,5888,Fang Holdings Ltd,0.030269950586156415
BKS,3531,,0.018152716630386936
LMT,15735,"Barnes & Noble, Inc.",0.08089294709123152
Axas,8,Lockheed Martin Corp,4.1127650252929905e-05
Bcei,1,,5.140956281616238e-06
Trch,1,,5.140956281616238e-06
Wti,101,,0.0005192365844432401
AGII,917,,0.004714256910242091
APAM,1389,Argo Group Internati,0.007140788275164955
BRKA,342,Artisan Partners Ass,0.0017582070483127534
DIS,30362,,0.15608971462243224
IBM,33134,Walt Disney Co,0.17034044543507246
NWS,843,International Busine,0.004333826145402489
SNE,5606,News Corp,0.028820200914740635
BFIN,580,Sony Corp (ADR),0.0029817546433374186
BMA,1815,BankFinancial Corpor,0.009330835651133473
ASMB,557,Banco Macro SA (ADR),0.002863512648860245
CBIO,5657,Assembly Biosciences,0.02908238968510306
COCP,207,Catalyst Biosciences,0.0010641779502945615
CUR,1701,Cocrystal Pharma Inc,0.008744766635029223
DMTX,1066,"Neuralstem, Inc.",0.00548025939620291
DPRX,37,Dimension Therapeuti,0.00019021538241980083
DRNA,1233,,0.006338799095232822
DRNE,33,Dicerna Pharmaceutic,0.00016965155729333587
GLMD,597,DRONE AVIATION HOL C,0.003069150900124895
IGXT,42,Galmed Pharmaceutica,0.000215920163827882
KTOS,3680,IntelGenx Technologi,0.01891871911634776
MBVX,1770,Kratos Defense & Sec,0.009099492618460742
NDEV,3943,,0.020270790618412828
OCRX,1079,NOVUS ACQ & DEV CO C,0.005547091827863921
PVHO,118,Ocera Therapeutics I,0.0006066328412307161
TROV,2983,Provision Holding In,0.01533547258806124
TRXC,1732,TrovaGene Inc,0.008904136279759325
AEG,1224,Transenterix Inc,0.0062925304886982765
Au,61,AEGON N.V. (ADR),0.00031359833317859057
ALV,2137,,0.0109862235738139
CBS,6454,Autoliv Inc.,0.03317973184155121
SPN,1692,CBS Corporation,0.008698498028494676
SXL,179,Superior Energy Serv,0.0009202311744093067
TOO,2704,Energy Transfer Part,0.013901145785490308
AKG,1427,Teekay Offshore Part,0.007336144613866372
EHI,121,Asanko Gold Inc,0.0006220557100755648
VVC,1503,Western Asset Global,0.007726857291269207
CETX,2003,Vectren Corp,0.010297335432077327
GFI,1595,Cemtrex Inc,0.008199825269177901
IMGN,5643,Gold Fields Limited ,0.029010416297160432
SDRL,4387,"ImmunoGen, Inc.",0.02255337520745044
SID,736,Seadrill Ltd,0.003783743823269552
VSLR,2100,Companhia Siderurgic,0.010796008191394101
AKS,9009,Vivint Solar Inc,0.046314875141080694
ABY,2408,AK Steel Holding Cor,0.012379422726131902
BAY,1685,Atlantica Yield PLC,0.008662511334523362
COVAL,1409,,0.00724360740079728
DRACO,748,,0.0038454352986489466
ETC,40827,,0.20988982210954618
GNT,16606,,0.08537072001251926
INFX,465,Gamco Natural Resour,0.002390544670951551
MEME,737,"Infinex Ventures, In",0.0037888847795511677
MUSIC,1467,Meemee Media Inc,0.007541782865131022
RADS,2075,,0.010667484284353695
WBB,394,,0.002025536774956798
XVG,24038,,0.12357830709749114
ELED,82600,,0.42464298886150126
NNVC,398,EXELED HOLDINGS IN C,0.002046100600083263
NVIV,1010,NanoViricides Inc,0.005192365844432401
ONVO,1892,Invivo Therapeutics ,0.009726689284817923
UNXL,3214,Organovo Holdings In,0.016523033489114592
ABEV,2411,Uni-Pixel Inc,0.01239484559497675
ASR,664,Ambev SA (ADR),0.0034135949709931824
OMAB,579,Grupo Aeroportuario ,0.0029766136870558024
PAC,722,Grupo Aeroportuario ,0.0037117704353269243
BUSE,702,Grupo Aeroportr dl P,0.0036089513096945994
CL,14873,First Busey Corporat,0.07646144277647832
ES,15317,Colgate-Palmolive Co,0.07874402736551592
GC,3234,Eversource Energy,0.016625852614746913
ARTX,672,,0.003454722621246112
ATHX,1492,Arotech Corporation,0.0076703067721714275
AVXL,2816,"Athersys, Inc.",0.014476932889031327
BCRX,3586,Anavex Life Sciences,0.01843546922587583
